VIVA - RAUNA SZIL,,,,,,
ELSZÍVÓ,GORENJE,TH60E3X,AG00157AKC,L15234,BEÉPÍTETT 60,INOX
HŰTŐ,BEKO,BCNA-275E31SN,ABE01123KC,L13188,,NEM LÁTSZÓ
BORHŰTŐ,,,,,,
SOKKOLÓ HŰTŐ,,,,,,
KÁVÉFŐZŐ,,,,,,
MOSOGATÓGÉP,EVIDO,SPLASH 60I (DWS65I.1),DEEV00113,,60,NEM LÁTSZÓ
MOSÓGÉP,,,,,,
SZÁRÍTÓGÉP,,,,,,
MOSOGATÓTÁLCA,TEKA,CIVIO 50 STQ,AT00196AKC,L13918,,TOPÁZBÉZS
CSAPTELEP,TEKA,MTP 993,AT00152AKC,L13918,,KRÓM
SZAPPANADAGOLÓ,,,,,,
VÍZTISZTÍTÓ,,,,,,
HULLADÉKTÁROLÓ,,,,,,
HULLADÉKTÁROLÓ,,,,,,
KONYHAMALAC,,,,,,
DIA - SÖTÉT TÖLGY,,,,,,
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN
SÜTŐ,EVIDO,RUSTIC-O 6AC,DEEV00044,L12120,,BÉZS
MIKRÓHULLÁMÚ,,,,,,
FŐZŐLAP,EVIDO,RUSTIC-H 70C,DEEV00045,L12118,,BÉZS
ELSZÍVÓ,,,,,,
HŰTŐ,BEKO,BLSA-210M3SN,ABE0106AKC,L13107,,NEM LÁTSZÓ
BORHŰTŐ,,,,,,
SOKKOLÓ HŰTŐ,,,,,,
KÁVÉFŐZŐ,,,,,,
MOSOGATÓGÉP,EVIDO,AQUALIFE 45 (DW45I.2),DEEV00017,L14425,45,NEM LÁTSZÓ
MOSÓGÉP,,,,,,
SZÁRÍTÓGÉP,,,,,,
MOSOGATÓTÁLCA,BLANCO,LEGRA 6,DEBL00106,L12122,,
CSAPTELEP,BLANCO,TRADON,DEBL00098,L12121,,SÁRGARÉZ
SZAPPANADAGOLÓ,,,,,,
VÍZTISZTÍTÓ,,,,,,
HULLADÉKTÁROLÓ,,,,,,
HULLADÉKTÁROLÓ,,,,,,
KONYHAMALAC,,,,,,
TINA-KIA - SPANYOL TÖLGY/SZÜRKE,,,,,,
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN
SÜTŐ,EVIDO,LEVEL 60,DEEV00098,,,FEKETE
MIKRÓHULLÁMÚ,EVIDO,COMFORT 45M,DEEV00010,,,FEKETE
FŐZŐLAP,EVIDO,VETRO 60BB,DEEV00025,,,FEKETE
ELSZÍVÓ,,,,,,
HŰTŐ,BEKO,BCSA-285K3SN,ABE0102AKC,L13471,,NEM LÁTSZÓ
BORHŰTŐ,,,,,,
SOKKOLÓ HŰTŐ,,,,,,
KÁVÉFŐZŐ,,,,,,
MOSOGATÓGÉP,,,,,,
MOSÓGÉP,,,,,,
SZÁRÍTÓGÉP,,,,,,
MOSOGATÓTÁLCA,BLANCO,ZIA 8S,DEBL00077,,,PALASZÜRKE
CSAPTELEP,BLANCO,AVONA-S,DEBL00147,,,PALASZÜRKE
SZAPPANADAGOLÓ,,,,,,
VÍZTISZTÍTÓ,,,,,,
HULLADÉKTÁROLÓ,EKOTECH,FRONT 60,DMECOTECHFR60,,,NEM LÁTSZÓ
HULLADÉKTÁROLÓ,,,,,,
KONYHAMALAC,,,,,,
TINA-KIA - SZÜRKE/KÉK,,,,,,
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN
SÜTŐ,WHIRLPOOL,AKZ9 6230 WH,AW000000029AKC,L14132,,FEHÉR
MIKRÓHULLÁMÚ,,,,,,
FŐZŐLAP,WHIRLPOOL,WL S5360BF/W,AW000000034AKC,L14132,,FEHÉR
ELSZÍVÓ,,,,,,
HŰTŐ,,,,,,
BORHŰTŐ,DUNAVOX,DAB-36.80DW,AD00003AKC,L10365,,FEHÉR
SOKKOLÓ HŰTŐ,,,,,,
KÁVÉFŐZŐ,,,,,,
MOSOGATÓGÉP,WHIRLPOOL,WSIO 3034 PFEX,AW000000041AKC,L14131,,NEM LÁTSZÓ
MOSÓGÉP,,,,,,
SZÁRÍTÓGÉP,,,,,,
